Tỉnh/Bang,Quốc gia/Vùng lãnh thổ,Vĩ độ,Kinh độ,Ngày,Ca xác nhận,Tử vong,Hồi phục,Đang điều trị,Khu vực WHO
unknown,afghanistan,33.93911,67.709953,2020-01-22,0,0,0,0,eastern mediterranean
unknown,albania,41.1533,20.1683,2020-01-22,0,0,0,0,europe
unknown,algeria,28.0339,1.6596,2020-01-22,0,0,0,0,africa
unknown,andorra,42.5063,1.5218,2020-01-22,0,0,0,0,europe
unknown,angola,-11.2027,17.8739,2020-01-22,0,0,0,0,africa
unknown,antigua and barbuda,17.0608,-61.7964,2020-01-22,0,0,0,0,americas
unknown,argentina,-38.4161,-63.6167,2020-01-22,0,0,0,0,americas
unknown,armenia,40.0691,45.0382,2020-01-22,0,0,0,0,europe
australian capital territory,australia,-35.4735,149.0124,2020-01-22,0,0,0,0,western pacific
new south wales,australia,-33.8688,151.2093,2020-01-22,0,0,0,0,western pacific
northern territory,australia,-12.4634,130.8456,2020-01-22,0,0,0,0,western pacific
queensland,australia,-27.4698,153.0251,2020-01-22,0,0,0,0,western pacific
south australia,australia,-34.9285,138.6007,2020-01-22,0,0,0,0,western pacific
tasmania,australia,-42.8821,147.3272,2020-01-22,0,0,0,0,western pacific
victoria,australia,-37.8136,144.9631,2020-01-22,0,0,0,0,western pacific
western australia,australia,-31.9505,115.8605,2020-01-22,0,0,0,0,western pacific
unknown,austria,47.5162,14.5501,2020-01-22,0,0,0,0,europe
unknown,azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,0,europe
unknown,bahamas,25.025885,-78.035889,2020-01-22,0,0,0,0,americas
unknown,bahrain,26.0275,50.55,2020-01-22,0,0,0,0,eastern mediterranean
unknown,bangladesh,23.685,90.3563,2020-01-22,0,0,0,0,south-east asia
unknown,barbados,13.1939,-59.5432,2020-01-22,0,0,0,0,americas
unknown,belarus,53.7098,27.9534,2020-01-22,0,0,0,0,europe
unknown,belgium,50.8333,4.469936,2020-01-22,0,0,0,0,europe
unknown,benin,9.3077,2.3158,2020-01-22,0,0,0,0,africa
unknown,bhutan,27.5142,90.4336,2020-01-22,0,0,0,0,south-east asia
unknown,bolivia,-16.2902,-63.5887,2020-01-22,0,0,0,0,americas
unknown,bosnia and herzegovina,43.9159,17.6791,2020-01-22,0,0,0,0,europe
unknown,brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,americas
unknown,brunei,4.5353,114.7277,2020-01-22,0,0,0,0,western pacific
unknown,bulgaria,42.7339,25.4858,2020-01-22,0,0,0,0,europe
unknown,burkina faso,12.2383,-1.5616,2020-01-22,0,0,0,0,africa
unknown,cabo verde,16.5388,-23.0418,2020-01-22,0,0,0,0,africa
unknown,cambodia,11.55,104.9167,2020-01-22,0,0,0,0,western pacific
unknown,cameroon,3.8480000000000003,11.5021,2020-01-22,0,0,0,0,africa
alberta,canada,53.9333,-116.5765,2020-01-22,0,0,0,0,americas
british columbia,canada,53.7267,-127.6476,2020-01-22,0,0,0,0,americas
manitoba,canada,53.7609,-98.8139,2020-01-22,0,0,0,0,americas
new brunswick,canada,46.5653,-66.4619,2020-01-22,0,0,0,0,americas
newfoundland and labrador,canada,53.1355,-57.6604,2020-01-22,0,0,0,0,americas
nova scotia,canada,44.681999999999995,-63.7443,2020-01-22,0,0,0,0,americas
ontario,canada,51.2538,-85.3232,2020-01-22,0,0,0,0,americas
prince edward island,canada,46.5107,-63.4168,2020-01-22,0,0,0,0,americas
quebec,canada,52.9399,-73.5491,2020-01-22,0,0,0,0,americas
saskatchewan,canada,52.9399,-106.4509,2020-01-22,0,0,0,0,americas
unknown,central african republic,6.6111,20.9394,2020-01-22,0,0,0,0,africa
unknown,chad,15.4542,18.7322,2020-01-22,0,0,0,0,africa
unknown,chile,-35.6751,-71.543,2020-01-22,0,0,0,0,americas
anhui,china,31.8257,117.2264,2020-01-22,1,0,0,1,western pacific
beijing,china,40.1824,116.4142,2020-01-22,14,0,0,14,western pacific
chongqing,china,30.0572,107.874,2020-01-22,6,0,0,6,western pacific
fujian,china,26.0789,117.9874,2020-01-22,1,0,0,1,western pacific
gansu,china,35.7518,104.2861,2020-01-22,0,0,0,0,western pacific
guangdong,china,23.3417,113.4244,2020-01-22,26,0,0,26,western pacific
guangxi,china,23.8298,108.7881,2020-01-22,2,0,0,2,western pacific
guizhou,china,26.8154,106.8748,2020-01-22,1,0,0,1,western pacific
hainan,china,19.1959,109.7453,2020-01-22,4,0,0,4,western pacific
hebei,china,39.549,116.1306,2020-01-22,1,0,0,1,western pacific
heilongjiang,china,47.861999999999995,127.7615,2020-01-22,0,0,0,0,western pacific
henan,china,37.8957,114.9042,2020-01-22,5,0,0,5,western pacific
hong kong,china,22.3,114.2,2020-01-22,0,0,0,0,western pacific
hubei,china,30.9756,112.2707,2020-01-22,444,17,28,399,western pacific
hunan,china,27.6104,111.7088,2020-01-22,4,0,0,4,western pacific
inner mongolia,china,44.0935,113.9448,2020-01-22,0,0,0,0,western pacific
jiangsu,china,32.9711,119.455,2020-01-22,1,0,0,1,western pacific
jiangxi,china,27.614,115.7221,2020-01-22,2,0,0,2,western pacific
jilin,china,43.6661,126.1923,2020-01-22,0,0,0,0,western pacific
liaoning,china,41.2956,122.6085,2020-01-22,2,0,0,2,western pacific
